id,event_id,user_id,event_type,timestamp,session_id,device,browser,source,product_id,product_name,product_category,product_sector,product_price,search_query,time_on_page_sec,quantity,order_total,payment_method
42ed0a6d-4937-4f90-a603-2e86af4c44e5,EVT-000001,USER-00174,view,2025-11-23T01:40:18.113504,SES-83aee6aa,tablet,Firefox,email,PROD-01132,Saatva Loom & Leaf,Beds,Furniture,708.46,,519,0,0,
7a0623c9-0c78-4cb2-a28a-56d330a2d67c,EVT-000002,USER-00064,search,2025-12-19T10:28:47.282609,SES-74b89205,mobile,Firefox,organic,,,,,0.0,wireless headphones,0,0,0,
11828de5-a0e8-4963-b5ec-c3f53e3dea79,EVT-000003,USER-00218,click,2025-12-02T03:25:47.373492,SES-90ebe9d6,desktop,Safari,email,PROD-00003,Penfolds Grange,Red Wine,Wine,390.13,,276,0,0,
51f45473-cff9-436f-93e0-7f1d386749d5,EVT-000004,USER-00107,search,2025-12-18T11:09:10.342657,SES-8f838cd4,desktop,Firefox,organic,,,,,0.0,home office chair,0,0,0,
f80f7022-dcde-4686-965e-0455958198d7,EVT-000005,USER-00147,add_to_cart,2026-01-05T12:40:24.913330,SES-f7cec357,mobile,Chrome,email,PROD-01416,REI Flash 55 Pack,Outdoor Gear,Sports,517.67,,0,1,0,
b0ed435c-ec81-4fd5-bb32-1f7348408f9d,EVT-000006,USER-00048,wishlist,2025-10-25T23:28:29.984976,SES-72243e74,tablet,Safari,organic,PROD-01844,Samsung Galaxy Watch 6,Smartwatches,Electronics,790.52,,0,0,0,
529d6002-400d-43f9-8a5d-70254768834d,EVT-000007,USER-00154,search,2026-01-05T19:08:24.318634,SES-2bae8628,tablet,Chrome,organic,,,,,0.0,red wine gift,0,0,0,
163b776a-4a14-43ab-b29d-2430e74bac91,EVT-000008,USER-00144,view,2025-11-26T09:12:22.057631,SES-bb7b3c7d,tablet,Edge,direct,PROD-01196,Oral-B iO Series 9,Personal Care,Healthcare,285.71,,125,0,0,
bd08ea8f-bcd2-46f3-8b67-7b73e80d6bab,EVT-000009,USER-00001,view,2025-12-10T02:06:18.744376,SES-486dccd8,desktop,Safari,direct,PROD-00512,Dom Pérignon Rosé 2009,Champagne,Wine,415.51,,398,0,0,
63c4f008-f5c7-4f71-a46a-ec49ea2f74db,EVT-000010,USER-00023,search,2025-11-10T15:10:02.909837,SES-dc8f0119,desktop,Chrome,social,,,,,0.0,gaming laptop,0,0,0,
485b0c5e-2214-438b-8cf5-48cde056341b,EVT-000011,USER-00155,search,2025-12-24T20:51:38.742409,SES-fa3208c2,mobile,Firefox,social,,,,,0.0,wireless headphones,0,0,0,
45680974-819d-474c-9d8d-5cbd84805cd9,EVT-000012,USER-00218,click,2025-11-22T21:29:10.822791,SES-b9dcac06,desktop,Safari,email,PROD-00003,Penfolds Grange,Red Wine,Wine,390.13,,276,0,0,
f911057d-8643-427c-aa44-3564ed2495e9,EVT-000013,USER-00107,search,2026-01-03T15:41:52.116906,SES-4e8b9334,desktop,Firefox,organic,,,,,0.0,home office chair,0,0,0,
01b94e83-f472-439a-97ab-393b97d377e4,EVT-000014,USER-00147,add_to_cart,2026-01-02T08:04:55.412733,SES-52207187,mobile,Chrome,email,PROD-01416,REI Flash 55 Pack,Outdoor Gear,Sports,517.67,,0,1,0,
fb8e7bf6-6bfa-4b83-ae7c-aa9652ec9b65,EVT-000015,USER-00048,wishlist,2025-11-10T08:13:16.543027,SES-cdd1b14d,tablet,Safari,organic,PROD-01844,Samsung Galaxy Watch 6,Smartwatches,Electronics,790.52,,0,0,0,
54c77d7d-eccf-49c9-ba64-09acc351fa94,EVT-000016,USER-00154,search,2025-12-24T15:23:17.154236,SES-fb4f61b7,tablet,Chrome,organic,,,,,0.0,red wine gift,0,0,0,
