 id,review_id,product_id,product_name,product_category,product_sector,user_id,user_name,rating,title,body,sentiment,helpful_votes,verified_purchase,created_at
f3cf137c-c073-4b29-b0f2-b3476629958b,REV-000001,PROD-01506,Tory Burch Kira Chevron,Handbags,Fashion,USER-00048,Catherine Lopez,5,Best purchase ever!,Best purchase ever! The Tory Burch Kira Chevron is exactly what I needed. Great quality. Would definitely buy again.,positive,152,True,2025-09-02T11:17:13.017290
bc4e7ecd-3de7-4939-a0c9-08787e23ebdb,REV-000002,PROD-00511,Château Margaux Pavillon Rouge,Red Wine,Wine,USER-00106,David Roman,1,Poor quality.,Poor quality. The Château Margaux Pavillon Rouge did not meet my expectations. Broke quickly. Looking for alternatives.,negative,144,True,2025-12-18T01:30:55.196575
468fd75b-0be2-4393-a36c-a586f9391e00,REV-000003,PROD-00600,The North Face Thermoball,Jackets,Fashion,USER-00297,Sara Osborn,5,Excellent quality!,Excellent quality! The The North Face Thermoball is exactly what I needed. Great performance. Would definitely buy again.,positive,174,True,2025-06-17T13:14:32.845218
8fde525c-dee4-4bed-8302-9493a52fa7a3,REV-000004,PROD-01095,Grey Goose Original Vodka,Spirits,Wine,USER-00272,Matthew Russell,4,Highly recommend!,Highly recommend! The Grey Goose Original Vodka is exactly what I needed. Great value. Would definitely buy again.,positive,40,True,2025-07-20T17:35:08.504009
d519c210-3cb1-4f09-ac01-617dc8eba8e9,REV-000005,PROD-01325,Herman Miller Aeron Chair,Desks & Chairs,Furniture,USER-00229,Angela Myers,5,Highly recommend!,Highly recommend! The Herman Miller Aeron Chair is exactly what I needed. Great quality. Would definitely buy again.,positive,50,False,2025-12-20T08:05:28.913506
a18d8814-216a-4857-900e-b66f09a1a1c3,REV-000006,PROD-01670,Seiko Presage,Watches,Fashion,USER-00146,John Peterson,5,Love it!,Love it! The Seiko Presage is exactly what I needed. Great design. Would definitely buy again.,positive,14,False,2025-09-11T03:02:54.433219
5cc5ccc9-e85d-4c42-ba7b-30b15baee35a,REV-000007,PROD-00956,Tory Burch Kira Chevron,Handbags,Fashion,USER-00123,Michelle Richards,5,Highly recommend!,Highly recommend! The Tory Burch Kira Chevron is exactly what I needed. Great value. Would definitely buy again.,positive,176,True,2025-06-04T01:08:17.084125
72278c91-35ec-4863-b371-1e00c7af2684,REV-000008,PROD-01721,Levi's Trucker Jacket,Jackets,Fashion,USER-00149,Terrance Morrison,5,Highly recommend!,Highly recommend! The Levi's Trucker Jacket is exactly what I needed. Great value. Would definitely buy again.,positive,70,True,2025-12-12T14:34:21.450703
065f03b9-e480-465c-8007-f945c39b56d1,REV-000009,PROD-00366,West Elm Mobile Chandelier,Lighting,Furniture,USER-00264,John Davis,4,Love it!,Love it! The West Elm Mobile Chandelier is exactly what I needed. Great design. Would definitely buy again.,positive,103,True,2025-05-13T00:30:12.229457
8a84151f-ff82-4001-b389-b90d82948400,REV-000010,PROD-00671,Nature Made Multivitamin,Vitamins,Healthcare,USER-00203,Anna Myers,2,Poor quality.,Poor quality. The Nature Made Multivitamin did not meet my expectations. Overpriced. Looking for alternatives.,negative,160,True,2025-02-13T03:07:10.310710
