id,review_id,product_id,product_name,product_category,product_sector,user_id,user_name,rating,title,body,sentiment,helpful_votes,verified_purchase,created_at
8cd27f43-cf96-4653-bcb1-588925c45538,REV-000001,PROD-01825,Kate Spade Spencer Satchel,Handbags,Fashion,USER-00218,Selena Brooks,5,Excellent quality!,Excellent quality! The Kate Spade Spencer Satchel is exactly what I needed. Great performance. Would definitely buy again.,positive,62,True,2025-04-04T05:08:18
63f5114c-faf4-46fd-b918-d544d757c847,REV-000002,PROD-01037,IKEA NORDVIKEN,Dining,Furniture,USER-00130,Caleb Roth,4,Best purchase ever!,Best purchase ever! The IKEA NORDVIKEN is exactly what I needed. Great quality. Would definitely buy again.,positive,65,True,2025-09-03T11:22:31
d49e4fa1-4fe8-43b4-b184-b2e4c46c0187,REV-000003,PROD-01144,Casper Original,Beds,Furniture,USER-00289,Rodney King,4,Highly recommend!,Highly recommend! The Casper Original is exactly what I needed. Great design. Would definitely buy again.,positive,101,True,2025-05-21T02:29:47
476b1b24-5277-46db-9586-eca01e144116,REV-000004,PROD-00237,Liforme Original Mat,Yoga & Pilates,Sports,USER-00064,April Mclaughlin,5,Love it!,Love it! The Liforme Original Mat is exactly what I needed. Great performance. Would definitely buy again.,positive,171,True,2026-01-08T11:04:56
c2fc28b1-99d4-4b08-a1a8-d0568c5119df,REV-000005,PROD-00235,Kim Crawford Sauvignon Blanc,White Wine,Wine,USER-00273,Grace Lopez,4,Love it!,Love it! The Kim Crawford Sauvignon Blanc is exactly what I needed. Great value. Would definitely buy again.,positive,156,True,2025-08-05T01:32:35
fddd3198-783e-4176-a5aa-8cfe034289d5,REV-000006,PROD-00383,Philips Hue Play Bar,Lighting,Furniture,USER-00036,Miranda Warren,4,Love it!,Love it! The Philips Hue Play Bar is exactly what I needed. Great quality. Would definitely buy again.,positive,37,True,2025-10-19T10:46:13
55f65f62-1ac8-4ad5-8889-33ff1f1e97ba,REV-000007,PROD-00381,Sony WH-1000XM5,Headphones,Electronics,USER-00277,Ronald Acosta,3,Average quality.,Average quality. The Sony WH-1000XM5 is okay for the price. Does the job.,neutral,89,False,2025-09-26T22:54:42
a96a4961-3c89-49ae-aa31-6a77c4193af6,REV-000008,PROD-01274,doTERRA Lavender,Essential Oils,Healthcare,USER-00052,Kevin Silva,3,As expected.,As expected. The doTERRA Lavender is okay for the price. Average experience.,neutral,139,True,2025-08-26T04:16:16
7fd5c5e9-f16c-4b23-a6ae-1dc9d5a6adbb,REV-000009,PROD-00768,Philips Hue Starter Kit,Lighting,Furniture,USER-00211,David Hicks,4,Highly recommend!,Highly recommend! The Philips Hue Starter Kit is exactly what I needed. Great design. Would definitely buy again.,positive,111,False,2025-05-15T12:59:17
da000613-f11e-43bd-8365-429a22769cf8,REV-000010,PROD-01908,Président Brie,Cheese,Food,USER-00206,James Nicholson,3,As expected.,As expected. The Président Brie is okay for the price. Average experience.,neutral,81,True,2025-11-10T09:46:57
11a216f7-759a-4738-bf02-08a56f76fdc5,REV-000011,PROD-01528,Apple MacBook Pro 14,Laptops,Electronics,USER-00197,Robert Berry,5,Exceeded expectations!,Exceeded expectations! The Apple MacBook Pro 14 is exactly what I needed. Great design. Would definitely buy again.,positive,84,True,2025-08-25T23:00:50
cd35a464-dc7a-4ef7-aa4e-b7823165a4f2,REV-000012,PROD-01260,Container Store Elfa Classic,Storage,Furniture,USER-00223,George Leonard,5,Exceeded expectations!,Exceeded expectations! The Container Store Elfa Classic is exactly what I needed. Great design. Would definitely buy again.,positive,43,True,2025-08-17T13:03:50
81b45f7a-d978-45e3-a41c-854ddfb674a1,REV-000013,PROD-01216,Nike Dunk Low,Shoes,Fashion,USER-00243,Stephanie Walton,4,Exceeded expectations!,Exceeded expectations! The Nike Dunk Low is exactly what I needed. Great design. Would definitely buy again.,positive,160,True,2025-03-30T14:23:36
542bb2ef-1baf-42e6-ab47-80eeb64f5891,REV-000014,PROD-01347,Nature Made Fish Oil,Vitamins,Healthcare,USER-00053,Tony Rodriguez,4,Best purchase ever!,Best purchase ever! The Nature Made Fish Oil is exactly what I needed. Great quality. Would definitely buy again.,positive,106,True,2025-06-24T01:31:49
ec140125-4993-4ef2-bcb3-86b8ba3a02e4,REV-000015,PROD-00854,Dell Inspiron 15,Laptops,Electronics,USER-00068,Raymond Christensen,5,Best purchase ever!,Best purchase ever! The Dell Inspiron 15 is exactly what I needed. Great design. Would definitely buy again.,positive,108,True,2025-09-17T16:44:13
4b2df917-d0be-4ad7-adc6-df3bb282c05c,REV-000016,PROD-01966,La Roche-Posay Effaclar,Skincare,Healthcare,USER-00236,Jessica Wolf,1,Poor quality.,Poor quality. The La Roche-Posay Effaclar did not meet my expectations. Poor materials. Looking for alternatives.,negative,43,True,2025-10-17T15:58:04
436a392b-f6dc-4f41-965a-d138a3931e58,REV-000017,PROD-01063,Black Diamond Spot Headlamp,Outdoor Gear,Sports,USER-00148,Angela Williams,5,Best purchase ever!,Best purchase ever! The Black Diamond Spot Headlamp is exactly what I needed. Great design. Would definitely buy again.,positive,6,False,2025-02-18T23:56:18
d2ba7f61-8c62-4798-850f-eb60b4e91c8a,REV-000018,PROD-00922,Caymus Napa Cabernet 2021,Red Wine,Wine,USER-00189,Tara Hammond,5,Love it!,Love it! The Caymus Napa Cabernet 2021 is exactly what I needed. Great value. Would definitely buy again.,positive,186,True,2025-04-07T15:26:19
154de08c-d58c-43ce-8a1d-a730abc8674e,REV-000019,PROD-00253,Kerrygold Aged Cheddar,Cheese,Food,USER-00289,Rodney King,3,As expected.,As expected. The Kerrygold Aged Cheddar is okay for the price. Nothing special.,neutral,60,True,2025-02-25T18:22:56
0b58d3bb-5d2d-49ce-8afc-8ea79234f368,REV-000020,PROD-00298,Penfolds Bin 389,Red Wine,Wine,USER-00292,Wayne Parrish,4,Love it!,Love it! The Penfolds Bin 389 is exactly what I needed. Great design. Would definitely buy again.,positive,137,True,2025-02-24T16:05:03
ab232281-e39c-4841-81da-d5c74d03a539,REV-000021,PROD-01726,Trader Joe's Everything Bagel,Gourmet Foods,Food,USER-00084,Jonathan Diaz,4,Best purchase ever!,Best purchase ever! The Trader Joe's Everything Bagel is exactly what I needed. Great quality. Would definitely buy again.,positive,41,True,2025-10-23T21:22:24
253825eb-300e-4b06-ae5f-22cee32f2890,REV-000022,PROD-01810,La Roche-Posay Effaclar,Skincare,Healthcare,USER-00258,Wayne Hill,4,Highly recommend!,Highly recommend! The La Roche-Posay Effaclar is exactly what I needed. Great quality. Would definitely buy again.,positive,168,True,2025-09-09T17:38:53
